cluster,cell_type,gene,explanation,evidence_score,evidence_reason
1,Plasma cell,SDC1,"Encodes CD138, a canonical plasma cell surface marker.",0.95,"Multiple highly specific plasma cell markers (SDC1/CD138, JCHAIN, MZB1, SLAMF7, CD38) are present, strongly supporting the annotation."
1,Plasma cell,JCHAIN,"Immunoglobulin J chain, highly expressed in antibody-secreting plasma cells.",0.95,"Multiple highly specific plasma cell markers (SDC1/CD138, JCHAIN, MZB1, SLAMF7, CD38) are present, strongly supporting the annotation."
1,Plasma cell,MZB1,"Chaperone involved in immunoglobulin secretion, specific to plasma cells.",0.95,"Multiple highly specific plasma cell markers (SDC1/CD138, JCHAIN, MZB1, SLAMF7, CD38) are present, strongly supporting the annotation."
1,Plasma cell,SLAMF7,Surface protein enriched in plasma cells and used for their identification.,0.95,"Multiple highly specific plasma cell markers (SDC1/CD138, JCHAIN, MZB1, SLAMF7, CD38) are present, strongly supporting the annotation."
1,Plasma cell,CD38,"Highly expressed on plasma cells, used as a diagnostic marker.",0.95,"Multiple highly specific plasma cell markers (SDC1/CD138, JCHAIN, MZB1, SLAMF7, CD38) are present, strongly supporting the annotation."
2,Epithelial cancer cell (tumor epithelial cell),EPCAM,Highly expressed in epithelial cells and a canonical marker for epithelial and carcinoma cells.,0.95,"Multiple highly specific epithelial and colorectal cancer-associated markers (EPCAM, MUC13, PROM1, SPINK1, FABP6) are present, strongly supporting tumor epithelial cell identity."
2,Epithelial cancer cell (tumor epithelial cell),MUC13,Mucin gene upregulated in colorectal cancer epithelial cells.,0.95,"Multiple highly specific epithelial and colorectal cancer-associated markers (EPCAM, MUC13, PROM1, SPINK1, FABP6) are present, strongly supporting tumor epithelial cell identity."
2,Epithelial cancer cell (tumor epithelial cell),PROM1,"Also known as CD133, a marker of cancer stem-like epithelial cells in CRC.",0.95,"Multiple highly specific epithelial and colorectal cancer-associated markers (EPCAM, MUC13, PROM1, SPINK1, FABP6) are present, strongly supporting tumor epithelial cell identity."
2,Epithelial cancer cell (tumor epithelial cell),SPINK1,Overexpressed in colorectal and other epithelial cancers.,0.95,"Multiple highly specific epithelial and colorectal cancer-associated markers (EPCAM, MUC13, PROM1, SPINK1, FABP6) are present, strongly supporting tumor epithelial cell identity."
2,Epithelial cancer cell (tumor epithelial cell),FABP6,"Expressed in intestinal epithelial cells, especially in the ileum and CRC.",0.95,"Multiple highly specific epithelial and colorectal cancer-associated markers (EPCAM, MUC13, PROM1, SPINK1, FABP6) are present, strongly supporting tumor epithelial cell identity."
3,Mast cell,CPA3,"Highly specific for mast cells, encodes carboxypeptidase A3, a classic mast cell protease.",0.95,"Multiple highly specific mast cell markers (CPA3, HPGDS, LTC4S, RGS13) are present, strongly supporting mast cell identity in CRC tissue."
3,Mast cell,HPGDS,"Enzyme involved in prostaglandin D2 synthesis, highly expressed in mast cells.",0.95,"Multiple highly specific mast cell markers (CPA3, HPGDS, LTC4S, RGS13) are present, strongly supporting mast cell identity in CRC tissue."
3,Mast cell,LTC4S,"Leukotriene C4 synthase, key enzyme in mast cell eicosanoid metabolism.",0.95,"Multiple highly specific mast cell markers (CPA3, HPGDS, LTC4S, RGS13) are present, strongly supporting mast cell identity in CRC tissue."
3,Mast cell,RGS13,"Regulator of G-protein signaling, selectively expressed in mast cells.",0.95,"Multiple highly specific mast cell markers (CPA3, HPGDS, LTC4S, RGS13) are present, strongly supporting mast cell identity in CRC tissue."
3,Mast cell,GATA2,Transcription factor important for mast cell development and maintenance.,0.95,"Multiple highly specific mast cell markers (CPA3, HPGDS, LTC4S, RGS13) are present, strongly supporting mast cell identity in CRC tissue."
4,Tumor-associated macrophage,CSF1R,"Highly specific for macrophages, especially tumor-associated macrophages (TAMs) in CRC.",0.95,"Multiple highly specific macrophage/TAM markers (CSF1R, C1QA, AIF1, CD14, FCGR3A) are present, strongly supporting the annotation in the CRC context."
4,Tumor-associated macrophage,C1QA,"Classical macrophage marker, part of the complement system, enriched in TAMs.",0.95,"Multiple highly specific macrophage/TAM markers (CSF1R, C1QA, AIF1, CD14, FCGR3A) are present, strongly supporting the annotation in the CRC context."
4,Tumor-associated macrophage,AIF1,"Also known as IBA1, a well-known macrophage marker.",0.95,"Multiple highly specific macrophage/TAM markers (CSF1R, C1QA, AIF1, CD14, FCGR3A) are present, strongly supporting the annotation in the CRC context."
4,Tumor-associated macrophage,CD14,"Monocyte/macrophage marker, involved in innate immune response.",0.95,"Multiple highly specific macrophage/TAM markers (CSF1R, C1QA, AIF1, CD14, FCGR3A) are present, strongly supporting the annotation in the CRC context."
4,Tumor-associated macrophage,FCGR3A,"Expressed in macrophages, especially those with an activated phenotype in tumors.",0.95,"Multiple highly specific macrophage/TAM markers (CSF1R, C1QA, AIF1, CD14, FCGR3A) are present, strongly supporting the annotation in the CRC context."
5,Cancer-associated fibroblast (CAF),PDGFRA,"A canonical marker for fibroblasts and CAFs, especially in the tumor microenvironment.",0.9,"Multiple highly specific CAF/fibroblast markers (PDGFRA, PDGFRB, COL3A1) are present, strongly supporting CAF identity in CRC."
5,Cancer-associated fibroblast (CAF),PDGFRB,"Frequently expressed in activated fibroblasts/CAFs, involved in stromal remodeling.",0.9,"Multiple highly specific CAF/fibroblast markers (PDGFRA, PDGFRB, COL3A1) are present, strongly supporting CAF identity in CRC."
5,Cancer-associated fibroblast (CAF),COL3A1,"Encodes type III collagen, a major ECM component produced by fibroblasts.",0.9,"Multiple highly specific CAF/fibroblast markers (PDGFRA, PDGFRB, COL3A1) are present, strongly supporting CAF identity in CRC."
5,Cancer-associated fibroblast (CAF),ADAMTS4,"Matrix metalloproteinase involved in ECM remodeling, characteristic of activated fibroblasts.",0.9,"Multiple highly specific CAF/fibroblast markers (PDGFRA, PDGFRB, COL3A1) are present, strongly supporting CAF identity in CRC."
5,Cancer-associated fibroblast (CAF),PRELP,"Extracellular matrix protein, enriched in fibroblasts.",0.9,"Multiple highly specific CAF/fibroblast markers (PDGFRA, PDGFRB, COL3A1) are present, strongly supporting CAF identity in CRC."
6,CD8+ T cell,CD8A,"Encodes the CD8 alpha chain, a definitive marker of cytotoxic T lymphocytes.",0.95,"Multiple highly specific markers for CD8+ T cells (CD8A, GZMA, CD2, CD247, TIGIT) are present, strongly supporting this annotation in the CRC context."
6,CD8+ T cell,GZMA,Granzyme A is a cytotoxic molecule expressed in activated CD8+ T cells.,0.95,"Multiple highly specific markers for CD8+ T cells (CD8A, GZMA, CD2, CD247, TIGIT) are present, strongly supporting this annotation in the CRC context."
6,CD8+ T cell,CD2,"A pan-T cell marker, present on all mature T cells.",0.95,"Multiple highly specific markers for CD8+ T cells (CD8A, GZMA, CD2, CD247, TIGIT) are present, strongly supporting this annotation in the CRC context."
