PMID,cell_type,marker_genes,species,tissue_type,DB_name
28059107,A431 cell,Sox2,human,colon|carcinoma,MarkerGeneBERT
28059107,A431 cell,CD44,human,colon|carcinoma,MarkerGeneBERT
28059107,A431 cell,Sox2,human,colon|carcinoma,MarkerGeneBERT
28059107,A431 cell,CD44,human,colon|carcinoma,MarkerGeneBERT
28069687,MMACSF cell,NGFR,human,melanoma|colo858,MarkerGeneBERT
28069687,COLO858 cell,NGFR,human,melanoma|colo858,MarkerGeneBERT
28069687,IncuCyte CytoTox Red Reagent,Cat,human,melanoma|colo858,MarkerGeneBERT
28069687,Drug‐adapted cell,NGFR,human,melanoma|colo858,MarkerGeneBERT
28069687,melanocyte,NGFR,human,melanoma|colo858,MarkerGeneBERT
28069687,Drug‐adapted cell,NGFR,human,melanoma|colo858,MarkerGeneBERT
28069687,melanocyte,NGFR,human,melanoma|colo858,MarkerGeneBERT
28069687,melanocyte,MITF,human,melanoma|colo858,MarkerGeneBERT
28069687,melanocyte,MITF,human,melanoma|colo858,MarkerGeneBERT
28069687,melanocyte,MITF,human,melanoma|colo858,MarkerGeneBERT
28069687,melanocyte lineage,MITF,human,melanoma|colo858,MarkerGeneBERT
28069687,melanocyte,MITF,human,melanoma|colo858,MarkerGeneBERT
28069687,melanocyte lineage,MITF,human,melanoma|colo858,MarkerGeneBERT
28069687,melanocyte lineage,NGFR,human,melanoma|colo858,MarkerGeneBERT
28069687,melanocyte lineage,NGFR,human,melanoma|colo858,MarkerGeneBERT
28091601,progenitor,HBA1,human,donor|peripheral blood,MarkerGeneBERT
28091601,progenitor,GATA1,human,donor|peripheral blood,MarkerGeneBERT
28091601,progenitor,CD34,human,donor|peripheral blood,MarkerGeneBERT
28091601,immature granulocyte,AZU1,human,donor|peripheral blood,MarkerGeneBERT
28091601,immature granulocyte,AZU1,human,donor|peripheral blood,MarkerGeneBERT
28091601,Jurkat,CD3D,human,donor|peripheral blood,MarkerGeneBERT
28091601,293 T cell,XIST,human,donor|peripheral blood,MarkerGeneBERT
28091601,megakaryocyte,PF4,human,donor|peripheral blood,MarkerGeneBERT
28091601,granulocyte,AZU1,human,donor|peripheral blood,MarkerGeneBERT
28091601,mature erythroid cell,HBA1,human,donor|peripheral blood,MarkerGeneBERT
28091601,erythroid,Gata2,human,donor|peripheral blood,MarkerGeneBERT
28091601,erythroid,CD34,human,donor|peripheral blood,MarkerGeneBERT
28091601,hematopoietic progenitor,CD34,human,donor|peripheral blood,MarkerGeneBERT
28099430,T-cell,CD69,human,tail,MarkerGeneBERT
28099430,CRISPR droplet sequencing,CD69,human,tail,MarkerGeneBERT
28099430,control cell,CD69,human,tail,MarkerGeneBERT
28099430,T-cell,CD82,human,tail,MarkerGeneBERT
28099430,T-cell,CD69,human,tail,MarkerGeneBERT
28099430,T-cell,CD38,human,tail,MarkerGeneBERT
28118844,K562 cell,CD24,human,not detect,MarkerGeneBERT
28128337,stromal,LUM,human,cornea|corneal,MarkerGeneBERT
28128337,stromal,KERA,human,cornea|corneal,MarkerGeneBERT
28128337,epithelial,KRT14,human,cornea|corneal,MarkerGeneBERT
28128337,epithelial,KRT3,human,cornea|corneal,MarkerGeneBERT
28128337,organoid,KRT14,human,cornea|corneal,MarkerGeneBERT
28128337,organoid,KRT3,human,cornea|corneal,MarkerGeneBERT
28128337,endothelial,S100A4,human,cornea|corneal,MarkerGeneBERT
28128337,endothelial,F11R,human,cornea|corneal,MarkerGeneBERT
28128337,endothelial,COL8A1,human,cornea|corneal,MarkerGeneBERT
28128337,stromal keratocyte,CD34,human,cornea|corneal,MarkerGeneBERT
28134245,glial,GFAP,human,neural,MarkerGeneBERT
28148223,myeloid lineage,CD14,human,carcinoma|renal cell|blood,MarkerGeneBERT
28148223,myeloid lineage,CD86,human,carcinoma|renal cell|blood,MarkerGeneBERT
28148223,myeloid lineage,CD80,human,carcinoma|renal cell|blood,MarkerGeneBERT
28148223,myeloid lineage,CD15,human,carcinoma|renal cell|blood,MarkerGeneBERT
28148223,myeloid lineage,CD11B,human,carcinoma|renal cell|blood,MarkerGeneBERT
28148223,myeloid,CD15,human,carcinoma|renal cell|blood,MarkerGeneBERT
28148223,B-cell,CD15,human,carcinoma|renal cell|blood,MarkerGeneBERT
28148223,B-cell,CD14,human,carcinoma|renal cell|blood,MarkerGeneBERT
28148223,T-cell,CD15,human,carcinoma|renal cell|blood,MarkerGeneBERT
28148223,T-cell,CD14,human,carcinoma|renal cell|blood,MarkerGeneBERT
28148223,T-cell,CD19,human,carcinoma|renal cell|blood,MarkerGeneBERT
28148223,T-cell,CD4,human,carcinoma|renal cell|blood,MarkerGeneBERT
28148223,Neutrophil,CD15,human,carcinoma|renal cell|blood,MarkerGeneBERT
28148223,Monocyte,CD4,human,carcinoma|renal cell|blood,MarkerGeneBERT
28148223,B-cell,CD4,human,carcinoma|renal cell|blood,MarkerGeneBERT
28173870,CD133,CD34,human,blood|liver|fetal blood|umbilical cord blood,MarkerGeneBERT
28173870,endothelial progenitor cell,CD34,human,blood|liver|fetal blood|umbilical cord blood,MarkerGeneBERT
28174237,dendritic cell,IL32,human,decidua|endometrial stroma|stroma,MarkerGeneBERT
28174237,dendritic cell,IL15,human,decidua|endometrial stroma|stroma,MarkerGeneBERT
28174237,dendritic cell,IL1B,human,decidua|endometrial stroma|stroma,MarkerGeneBERT
28174237,extravillous trophoblast,KRT7,human,decidua|endometrial stroma|stroma,MarkerGeneBERT
28174237,leukocyte,HLA-G,human,decidua|endometrial stroma|stroma,MarkerGeneBERT
28174237,extravillous trophoblast,HLA-G,human,decidua|endometrial stroma|stroma,MarkerGeneBERT
28174237,trophoblast,II,human,decidua|endometrial stroma|stroma,MarkerGeneBERT
28174237,trophoblast,CYP19A1,human,decidua|endometrial stroma|stroma,MarkerGeneBERT
28174237,trophoblast,GCM1,human,decidua|endometrial stroma|stroma,MarkerGeneBERT
28174237,trophoblast,KRT8,human,decidua|endometrial stroma|stroma,MarkerGeneBERT
28174237,trophoblast,KRT7,human,decidua|endometrial stroma|stroma,MarkerGeneBERT
28276465,mast cell enzyme,CMA1,human,dermi|blood|epidermi,MarkerGeneBERT
28296636,MPP,Satb1,human,neural|lymphoid,MarkerGeneBERT
28346451,SC3,TET2,human,not detect,MarkerGeneBERT
28346451,putative double mutant clone,TET2,human,not detect,MarkerGeneBERT
28382969,predictive subset,CD44,human,citru|neural network,MarkerGeneBERT
28382969,predictive subset,CD34,human,citru|neural network,MarkerGeneBERT
28434170,human-derived epithelial-like cell,CD34,human,epithelial|ligament tissue|periodontal ligament,MarkerGeneBERT
28434170,hematopoietic lineage marker,CD34,human,epithelial|ligament tissue|periodontal ligament,MarkerGeneBERT
28469146,mature adipocyte marker,FABP4,human,intracellular|brown adipose tissue|neck,MarkerGeneBERT
28469146,brown preadipocyte,FABP4,human,intracellular|brown adipose tissue|neck,MarkerGeneBERT
28469146,undifferentiated precursor cell,FABP4,human,intracellular|brown adipose tissue|neck,MarkerGeneBERT
28469146,mature adipocyte marker,FABP4,human,intracellular|brown adipose tissue|neck,MarkerGeneBERT
28469146,brown preadipocyte,FABP4,human,intracellular|brown adipose tissue|neck,MarkerGeneBERT
28469146,undifferentiated precursor cell,FABP4,human,intracellular|brown adipose tissue|neck,MarkerGeneBERT
28474673,monocyte,CD68,human,breast cancer|lymph node,MarkerGeneBERT
28474673,monocyte,CD14,human,breast cancer|lymph node,MarkerGeneBERT
28474673,immune cell,CD68,human,breast cancer|lymph node,MarkerGeneBERT
28474673,immune cell,CD14,human,breast cancer|lymph node,MarkerGeneBERT
28474673,T-cell,IL2RA,human,breast cancer|lymph node,MarkerGeneBERT
28474673,T lymphocyte,IL2RA,human,breast cancer|lymph node,MarkerGeneBERT
28475899,M-5 cell,CD38,human,carcinoma|renal cell,MarkerGeneBERT
